Windspeed (m/s),   Region (-), Rot. Power (kW),  Thrust (kN) ,Gen. Torque (kNm), Rotational Speed (rad/s),  Pitch (rad), OOP Tip Disp. (m),       CP (-),       CT (-), Flap mom. (kNm), Edge mom. (kNm)
    3.000000,            1,    95.373548,   233.344857,   175.865885,     0.523599,     0.042242,     2.202302,     0.126038,     0.925111, -6635.000605,    68.775695
    3.250000,            1,   216.180215,   275.177994,   398.629659,     0.523599,     0.039541,     2.495883,     0.240307,     0.930192, -7733.368022,   145.587014
    3.500000,            1,   355.426436,   320.580601,   655.395400,     0.523599,     0.036242,     2.814958,     0.313010,     0.933870, -8925.433585,   234.114532
    3.750000,            1,   514.445878,   368.881424,   948.622353,     0.523599,     0.032567,     3.153816,     0.357364,     0.935070, -10191.985194,   335.207741
    4.000000,            1,   694.588194,   419.606430,  1280.799233,     0.523599,     0.028641,     3.508454,     0.386493,     0.933934, -11519.443394,   449.726478
    4.250000,            1,   897.172373,   473.382129,  1654.358218,     0.523599,     0.024256,     3.884474,     0.411471,     0.932727, -12925.725649,   578.505438
    4.500000,            1,  1123.351780,   530.398098,  2071.426075,     0.523599,     0.019352,     4.283763,     0.434047,     0.931764, -14416.518552,   722.274958
    4.750000,            1,  1374.266174,   590.899308,  2534.104483,     0.523599,     0.013856,     4.708630,     0.453588,     0.931284, -15999.009098,   881.756019
    5.000000,            1,  1651.083903,   655.042070,  3044.547840,     0.523599,     0.007720,     5.160594,     0.469504,     0.931343, -17677.937116,  1057.688297
    5.250000,            1,  1954.803678,   722.194731,  3604.597734,     0.523599,     0.001096,     5.634434,     0.481386,     0.930963, -19435.798399,  1250.708538
    5.500000,            1,  2286.152126,   791.657055,  4215.594042,     0.523599,    -0.005863,     6.124226,     0.489689,     0.929504, -21252.807226,  1461.282482
    5.750000,            1,  2645.709692,   861.755352,  4878.607079,     0.523599,    -0.012772,     6.615583,     0.495104,     0.925457, -23081.827318,  1689.791795
    6.000000,            1,  3033.454893,   931.509760,  5593.597202,     0.523599,    -0.019460,     7.100394,     0.498504,     0.918479, -24895.739262,  1936.229807
    6.250000,            1,  3449.420496,  1004.345663,  6360.624865,     0.523599,    -0.026876,     7.608402,     0.500941,     0.912418, -26792.238707,  2200.587777
    6.500000,            1,  3893.909414,  1078.880031,  7180.248370,     0.523599,    -0.034736,     8.128412,     0.502645,     0.906017, -28733.977585,  2483.068340
    6.750000,            1,  4365.822002,  1154.706464,  8050.437604,     0.523599,    -0.043082,     8.658675,     0.503429,     0.899137, -30713.482535,  2782.971149
    7.000000,            1,  4865.262111,  1236.993856,  8663.451537,     0.542210,    -0.044098,     9.237472,     0.503246,     0.895653, -32855.211628,  2994.189740
    7.250000,            2,  5400.080125,  1327.706410,  9197.146416,     0.566891,    -0.043881,     9.869151,     0.502929,     0.896228, -35211.698247,  3176.842607
    7.500000,            2,  5974.548403,  1425.302298,  9791.758815,     0.589110,    -0.045683,    10.543191,     0.502730,     0.899166, -37751.055056,  3380.511371
    7.750000,            2,  6591.081996,  1512.729772, 10497.602239,     0.606204,    -0.046861,    11.123610,     0.502679,     0.893933, -39999.991336,  3623.717681
    8.000000,            2,  7211.476128,  1519.725795, 11405.666989,     0.610458,    -0.037196,    11.046861,     0.499898,     0.842776, -39999.998579,  3937.791282
    8.250000,            2,  7810.719782,  1526.668092, 12277.156784,     0.614251,    -0.028197,    10.972371,     0.493652,     0.796057, -39999.999273,  4239.123605
    8.500000,            2,  8391.499685,  1533.533230, 13115.446828,     0.617744,    -0.019740,    10.900074,     0.484920,     0.753256, -39999.999482,  4528.960821
    8.750000,            2,  8956.827326,  1540.401866, 13905.645525,     0.621893,    -0.011478,    10.828279,     0.474465,     0.713981, -39999.999577,  4802.245573
    9.000000,            2,  9509.456687,  1547.360732, 14654.678036,     0.626515,    -0.003458,    10.756563,     0.462892,     0.677888, -39999.999630,  5061.337975
    9.250000,            2, 10051.801816,  1554.310337, 15394.896291,     0.630405,     0.004040,    10.686596,     0.450663,     0.644598, -39999.999663,  5317.305637
    9.500000,            2, 10584.170209,  1561.281538, 16093.153234,     0.634992,     0.011388,    10.616444,     0.438032,     0.613838, -39999.999684,  5558.844526
    9.750000,            2, 11108.606826,  1568.723220, 16710.856662,     0.641820,     0.018895,    10.540456,     0.425255,     0.585518, -39999.999694,  5772.414839
   10.000000,            2, 11627.784041,  1576.190960, 17333.879957,     0.647670,     0.025871,    10.466628,     0.412558,     0.559238, -39999.999705,  5987.814015
   10.250000,            2, 12141.040523,  1583.682631, 17929.919105,     0.653777,     0.032592,    10.391929,     0.399999,     0.534804, -39999.999703,  6193.811363
   10.500000,            2, 12649.529307,  1591.635841, 18461.121984,     0.661559,     0.039245,    10.312251,     0.387672,     0.512181, -39999.999709,  6377.293094
   10.750000,            2, 13156.072280,  1600.099693, 18956.761086,     0.670061,     0.045656,    10.228992,     0.375701,     0.491216, -39999.999664,  6548.430207
   11.000000,            2, 13659.786543,  1608.593808, 19442.633334,     0.678330,     0.051721,    10.144946,     0.364078,     0.471618, -39999.999696,  6716.189524
   11.250000,            2, 14161.267198,  1617.654419, 19867.235925,     0.688204,     0.057588,    10.054646,     0.352825,     0.453414, -39999.999678,  6862.872901
   11.500000,            2, 14663.299545,  1627.113154, 20277.616925,     0.698179,     0.063133,     9.961490,     0.342010,     0.436438, -39999.999649,  7004.783609
   11.750000,            2, 15164.079521,  1636.659221, 20674.036724,     0.708179,     0.068359,     9.866364,     0.331583,     0.420506, -39999.999601,  7141.977862
   12.000000,            2, 15664.818994,  1646.748504, 21028.084468,     0.719247,     0.073295,     9.765248,     0.321556,     0.405639, -39999.999513,  7264.638982
   12.250000,            2, 16167.814538,  1657.331984, 21370.065085,     0.730462,     0.077923,     9.660371,     0.311964,     0.391741, -39999.999350,  7383.175015
   12.500000,            2, 16672.009562,  1668.246032, 21699.022729,     0.741823,     0.082250,     9.552013,     0.302769,     0.378699, -39999.999079,  7497.210924
   12.750000,            2, 17177.459769,  1679.487816, 22010.972040,     0.753480,     0.086279,     9.439630,     0.293953,     0.366443, -39999.999651,  7605.349820
   13.000000,            2, 17684.953599,  1691.259092, 22298.874098,     0.765726,     0.090002,     9.321515,     0.285508,     0.354951, -39999.999640,  7705.183767
   13.250000,            2, 18195.184389,  1703.794269, 22553.621323,     0.778919,     0.093387,     9.195354,     0.277426,     0.344211, -39999.999599,  7793.596329
   13.500000,            2, 18709.496766,  1716.100054, 22847.680421,     0.790628,     0.096620,     9.072217,     0.269709,     0.333972, -39999.999144,  7895.582003
   13.750000,            2, 19229.046099,  1723.448165, 23481.981368,     0.790634,     0.100694,     9.004630,     0.262351,     0.323315, -39999.999595,  8114.779148
   14.000000,            2, 19748.284259,  1730.670640, 24116.053233,     0.790634,     0.104740,     8.937815,     0.255256,     0.313177, -39999.999590,  8333.896658
   14.250000,            2, 20267.024667,  1737.742422, 24749.521774,     0.790634,     0.108756,     8.871808,     0.248414,     0.303520, -39999.999577,  8552.803360
   14.500000,            2, 20785.519880,  1744.690614, 25382.692162,     0.790634,     0.112746,     8.806518,     0.241819,     0.294318, -39999.999562,  8771.603949
   14.750000,            2, 21304.193346,  1751.556854, 26016.080760,     0.790634,     0.116712,     8.741827,     0.235465,     0.285547, -39999.999547,  8990.477646
   15.000000,            2, 21823.371788,  1758.367039, 26650.090016,     0.790634,     0.120655,     8.677682,     0.229346,     0.277185, -39999.998917,  9209.564963
   15.250000,            2, 22343.165336,  1765.124080, 27284.845829,     0.790634,     0.124576,     8.614083,     0.223452,     0.269206, -39999.999051,  9428.910550
   15.500000,            2, 22863.353078,  1771.809717, 27920.083458,     0.790634,     0.128476,     8.551030,     0.217771,     0.261582, -39999.999135,  9648.422590
   15.750000,            2, 23383.587832,  1778.399500, 28555.378701,     0.790634,     0.132355,     8.488545,     0.212289,     0.254288, -39999.999192,  9867.952918
   16.000000,            2, 23903.670428,  1784.881859, 29190.488295,     0.790634,     0.136214,     8.426667,     0.206998,     0.247304, -39999.999229, 10087.416119
   16.250000,            2, 24423.574291,  1791.257213, 29825.379772,     0.790634,     0.140052,     8.365455,     0.201891,     0.240613, -39999.999251, 10306.800995
   16.500000,            2, 24943.374047,  1797.533762, 30460.144239,     0.790634,     0.143869,     8.304932,     0.196960,     0.234198, -39999.999262, 10526.140962
