Windspeed (m/s),   Region (-), Rot. Power (kW),  Thrust (kN) ,Gen. Torque (kNm), Rotational Speed (rad/s),  Pitch (rad), OOP Tip Disp. (m),       CP (-),       CT (-), Flap mom. (kNm), Edge mom. (kNm)
    3.000000,            1,    95.373548,   233.344857,   175.865885,     0.523599,     0.042242,     2.202302,     0.126038,     0.925111, -6635.000605,    68.775695
    3.250000,            1,   216.180215,   275.177994,   398.629659,     0.523599,     0.039541,     2.495883,     0.240307,     0.930192, -7733.368023,   145.587014
    3.500000,            1,   355.426436,   320.580601,   655.395400,     0.523599,     0.036242,     2.814958,     0.313010,     0.933870, -8925.433586,   234.114532
    3.750000,            1,   514.445878,   368.881424,   948.622353,     0.523599,     0.032567,     3.153816,     0.357364,     0.935070, -10191.985195,   335.207741
    4.000000,            1,   694.588194,   419.606430,  1280.799233,     0.523599,     0.028641,     3.508454,     0.386493,     0.933934, -11519.443395,   449.726478
    4.250000,            1,   897.172373,   473.382129,  1654.358218,     0.523599,     0.024256,     3.884474,     0.411471,     0.932727, -12925.725650,   578.505438
    4.500000,            1,  1123.351781,   530.398098,  2071.426076,     0.523599,     0.019352,     4.283763,     0.434047,     0.931764, -14416.518553,   722.274958
    4.750000,            1,  1374.266174,   590.899308,  2534.104483,     0.523599,     0.013856,     4.708630,     0.453588,     0.931284, -15999.009099,   881.756019
    5.000000,            1,  1651.083904,   655.042070,  3044.547840,     0.523599,     0.007720,     5.160594,     0.469504,     0.931343, -17677.937117,  1057.688297
    5.250000,            1,  1954.803678,   722.194731,  3604.597734,     0.523599,     0.001096,     5.634434,     0.481386,     0.930963, -19435.798401,  1250.708538
    5.500000,            1,  2286.152126,   791.657055,  4215.594043,     0.523599,    -0.005863,     6.124226,     0.489689,     0.929504, -21252.807229,  1461.282482
    5.750000,            1,  2645.709692,   861.755353,  4878.607080,     0.523599,    -0.012772,     6.615583,     0.495104,     0.925457, -23081.827321,  1689.791796
    6.000000,            1,  3033.454894,   931.509761,  5593.597204,     0.523599,    -0.019460,     7.100394,     0.498504,     0.918479, -24895.739266,  1936.229808
    6.250000,            1,  3449.420496,  1004.345663,  6360.624865,     0.523599,    -0.026876,     7.608402,     0.500941,     0.912418, -26792.238712,  2200.587777
    6.500000,            1,  3893.909414,  1078.880031,  7180.248370,     0.523599,    -0.034736,     8.128412,     0.502645,     0.906017, -28733.977592,  2483.068340
    6.750000,            1,  4365.822002,  1154.706465,  8050.437605,     0.523599,    -0.043082,     8.658675,     0.503429,     0.899137, -30713.482545,  2782.971149
    7.000000,            1,  4865.262111,  1236.993857,  8663.451499,     0.542210,    -0.044098,     9.237472,     0.503246,     0.895653, -32855.211662,  2994.189727
    7.250000,            2,  5400.080125,  1327.706411,  9197.146369,     0.566891,    -0.043881,     9.869151,     0.502929,     0.896228, -35211.698295,  3176.842591
    7.500000,            2,  5974.548403,  1425.302296,  9791.758804,     0.589110,    -0.045683,    10.543191,     0.502730,     0.899166, -37751.054987,  3380.511367
    7.750000,            2,  6589.672442,  1499.999851, 10536.195211,     0.603854,    -0.045254,    11.020782,     0.502550,     0.886371, -39645.515388,  3637.092136
    8.000000,            2,  7195.606363,  1499.999969, 11481.377789,     0.605098,    -0.035393,    10.892343,     0.498766,     0.831784, -39457.021589,  3963.780758
    8.250000,            2,  7772.157680,  1499.999988, 12402.554578,     0.605038,    -0.026469,    10.770518,     0.491179,     0.782093, -39275.726326,  4281.955289
    8.500000,            2,  8323.029170,  1499.999993, 13284.602667,     0.604902,    -0.017970,    10.653942,     0.480923,     0.736723, -39100.627822,  4586.608155
    8.750000,            2,  8852.655365,  1499.999996, 14132.751960,     0.604782,    -0.009793,    10.541686,     0.468904,     0.695193, -38931.276784,  4879.537651
    9.000000,            2,  9363.955053,  1499.999997, 14949.647044,     0.604757,    -0.001865,    10.432668,     0.455768,     0.657080, -38765.066007,  5161.706868
    9.250000,            2,  9859.571014,  1499.999997, 15754.627513,     0.604230,     0.005697,    10.326286,     0.442005,     0.622019, -38603.692833,  5439.458268
